Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filename
,"Jesuit Missions of the Guaranis: San Ignacio Mini, Santa Ana, Nuestra Señora de Loreto and Santa Maria Mayor (Argentina), Ruins of Sao Miguel das Missoes (Brazil) *",,,,,,,,,,,
,Historic Centre of Salvador de Bahia,,,,,,,,,,,
,Sanctuary of Bom Jesus do Congonhas,,,,,,,,,,,
,Iguaçu National Park,,,,,,,,,,,
,Brasilia,,,,,,,,,,,
,Serra da Capivara National Park,,,,,,,,,,,
,Historic Centre of São Luís,,,,,,,,,,,
,Atlantic Forest South-East Reserves,,,,,,,,,,,
,Discovery Coast Atlantic Forest Reserves,,,,,,,,,,,
,Historic Centre of the Town of Diamantina,,,,,,,,,,,
,Central Amazon Conservation Complex 5,,,,,,,,,,,
,Pantanal Conservation Area,,,,,,,,,,,
,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,,,,,,,,,,,
,Cerrado Protected Areas: Chapada dos Veadeiros and Emas National Parks,,,,,,,,,,,
,Historic Centre of the Town of Goiás,,,,,,,,,,,
,São Francisco Square in the Town of São Cristóvão,,,,,,,,,,,
,Rio de Janeiro: Carioca Landscapes between the Mountain and the Sea,,,,,,,,,,,
,Pampulha Modern Ensemble,,,,,,,,,,,
,Valongo Wharf Archaeological Site,,,,,,,,,,,
,Paraty and Ilha Grande – Culture and Biodiversity,,,,,,,,,,,
,Sítio Roberto Burle Marx,,,,,,,,,,,
,Lençóis Maranhenses National Park,,,,,,,,,,,
,,,,,,,,,,,,
,Bulgaria,,,,,,,,,,,
,,,,,,,,,,,,
,Boyana Church,,,,,,,,,,,
,Madara Rider,,,,,,,,,,,
,Rock-Hewn Churches of Ivanovo,,,,,,,,,,,
,Thracian Tomb of Kazanlak,,,,,,,,,,,
,Ancient City of Nessebar,,,,,,,,,,,
,Pirin National Park,,,,,,,,,,,
,Rila Monastery,,,,,,,,,,,
,Srebarna Nature Reserve,,,,,,,,,,,
,Thracian Tomb of Sveshtari,,,,,,,,,,,
,Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe *,,,,,,,,,,,
,,,,,,,,,,,,
,Burkina Faso,,,,,,,,,,,
,,,,,,,,,,,,
,W-Arly-Pendjari Complex *,,,,,,,,,,,
,Ruins of Loropéni,,,,,,,,,,,
,Ancient Ferrous Metallurgy Sites of Burkina Faso,,,,,,,,,,,
,Royal Court of Tiébélé,,,,,,,,,,,
,,,,,,,,,,,,
,Cabo Verde,,,,,,,,,,,
,,,,,,,,,,,,
,"Cidade Velha, Historic Centre of Ribeira Grande",,,,,,,,,,,
,,,,,,,,,,,,
,Cambodia,,,,,,,,,,,
,,,,,,,,,,,,
,Angkor,,,,,,,,,,,
,Temple of Preah Vihear,,,,,,,,,,,
,"Temple Zone of Sambor Prei Kuk, Archaeological Site of Ancient Ishanapura",,,,,,,,,,,
,Koh Ker: Archaeological Site of Ancient Lingapura or Chok Gargyar,,,,,,,,,,,
,,,,,,,,,,,,
,Cameroon,,,,,,,,,,,
,,,,,,,,,,,,
,Dja Faunal Reserve,,,,,,,,,,,
,Sangha Trinational *,,,,,,,,,,,
,,,,,,,,,,,,
,Canada,,,,,,,,,,,
,,,,,,,,,,,,
,L’Anse aux Meadows National Historic Site,,,,,,,,,,,
,Nahanni National Park #,,,,,,,,,,,
,Dinosaur Provincial Park,,,,,,,,,,,
,Kluane / Wrangell-St. Elias / Glacier Bay / Tatshenshini-Alsek # * 6,,,,,,,,,,,
,Head-Smashed-In Buffalo Jump,,,,,,,,,,,
,SGang Gwaay,,,,,,,,,,,
,Wood Buffalo National Park,,,,,,,,,,,
,Canadian Rocky Mountain Parks # 7,,,,,,,,,,,
,Historic District of Old Québec,,,,,,,,,,,
,Gros Morne National Park,,,,,,,,,,,
,Old Town Lunenburg,,,,,,,,,,,
,Waterton Glacier International Peace Park *,,,,,,,,,,,
,Miguasha National Park,,,,,,,,,,,
,Rideau Canal,,,,,,,,,,,
,Joggins Fossil Cliffs,,,,,,,,,,,
,Landscape of Grand Pré,,,,,,,,,,,
,Red Bay Basque Whaling Station,,,,,,,,,,,
,Mistaken Point,,,,,,,,,,,
,Pimachiowin Aki,,,,,,,,,,,
,Writing-on-Stone / Áísínai’pi,,,,,,,,,,,
,Anticosti,,,,,,,,,,,
,Tr’ondëk-Klondike,,,,,,,,,,,
,,,,,,,,,,,,
,Central African Republic,,,,,,,,,,,
,,,,,,,,,,,,
,Manovo-Gounda St Floris National Park,,,,,,,,,,,
,Sangha Trinational *,,,,,,,,,,,
,,,,,,,,,,,,
,Chad,,,,,,,,,,,
,,,,,,,,,,,,
,Lakes of Ounianga,,,,,,,,,,,
,Ennedi Massif: Natural and Cultural Landscape,,,,,,,,,,,
,,,,,,,,,,,,
,Chile,,,,,,,,,,,
,,,,,,,,,,,,
,Rapa Nui National Park,,,,,,,,,,,
,Churches of Chiloé,,,,,,,,,,,
,Historic Quarter of the Seaport City of Valparaíso,,,,,,,,,,,
,Humberstone and Santa Laura Saltpeter Works,,,,,,,,,,,
,Sewell Mining Town,,,,,,,,,,,
,"Qhapaq Ñan, Andean Road System *",,,,,,,,,,,
,Settlement and Artificial Mummification of the Chinchorro Culture in the Arica and Parinacota Region,,,,,,,,,,,
,,,,,,,,,,,,
,China,,,,,,,,,,,
,,,,,,,,,,,,
,Imperial Palaces of the Ming and Qing Dynasties in Beijing and Shenyang,,,,,,,,,,,
,Mausoleum of the First Qin Emperor,,,,,,,,,,,
,Mogao Caves,,,,,,,,,,,
,Mount Taishan,,,,,,,,,,,
,Peking Man Site at Zhoukoudian,,,,,,,,,,,
,The Great Wall,,,,,,,,,,,
,Mount Huangshan,,,,,,,,,,,
,Huanglong Scenic and Historic Interest Area,,,,,,,,,,,
,Jiuzhaigou Valley Scenic and Historic Interest Area,,,,,,,,,,,
,Wulingyuan Scenic and Historic Interest Area,,,,,,,,,,,
,Ancient Building Complex in the Wudang Mountains,,,,,,,,,,,
,"Historic Ensemble of the Potala Palace, Lhasa 8",,,,,,,,,,,
,"Mountain Resort and its Outlying Temples, Chengde",,,,,,,,,,,
,Temple and Cemetery of Confucius and the Kong Family Mansion in Qufu,,,,,,,,,,,
,Lushan National Park,,,,,,,,,,,
,"Mount Emei Scenic Area, including Leshan Giant Buddha Scenic Area",,,,,,,,,,,
,Ancient City of Ping Yao,,,,,,,,,,,
,Classical Gardens of Suzhou,,,,,,,,,,,
,Old Town of Lijiang,,,,,,,,,,,
,"Summer Palace, an Imperial Garden in Beijing",,,,,,,,,,,
,Temple of Heaven: an Imperial Sacrificial Altar in Beijing,,,,,,,,,,,
,Dazu Rock Carvings,,,,,,,,,,,
,Mount Wuyi,,,,,,,,,,,
,Ancient Villages in Southern Anhui – Xidi and Hongcun,,,,,,,,,,,
,Imperial Tombs of the Ming and Qing Dynasties,,,,,,,,,,,
,Longmen Grottoes,,,,,,,,,,,
